FlightCode,Company,Destination,Time,Situation
AT 9972 ^,Royal Air Maroc,(MAD) Madrid,12:15 PM,Prévu
3O 458,Air Arabia Maroc,(BGY) Milan,12:15 PM,Prévu
EK 751,Emirates,(DXB) Dubai,12:45 PM,Prévu
QF 8751 ^,Qantas,(DXB) Dubai,12:45 PM,Prévu
3O 342,Air Arabia Maroc,(LYS) Lyon,1:05 PM,Prévu
QR 1397,Qatar Airways,(DOH) Doha,1:15 PM,Prévu
AT 9707 ^,Royal Air Maroc,(DOH) Doha,1:15 PM,Prévu
AT 989,Royal Air Maroc,(AGP) Malaga,1:35 PM,Prévu
IB 1979 ^,Iberia,(AGP) Malaga,1:35 PM,Prévu
AT 408,Royal Air Maroc,(RAK) Marrakech,1:40 PM,Prévu
AA 7966 ^,American Airlines,(RAK) Marrakech,1:40 PM,Prévu
S7 4034 ^,S7 Airlines,(RAK) Marrakech,1:40 PM,Prévu
AT 422,Royal Air Maroc,(AGA) Agadir,1:50 PM,Prévu
AA 7979 ^,American Airlines,(AGA) Agadir,1:50 PM,Prévu
BA 7843 ^,British Airways,(AGA) Agadir,1:50 PM,Prévu
IB 1812 ^,Iberia,(AGA) Agadir,1:50 PM,Prévu
AT 791,Royal Air Maroc,(TLS) Toulouse,1:55 PM,Prévu
3O 472,Air Arabia Maroc,(VCE) Venice,1:55 PM,Prévu
AT 795,Royal Air Maroc,(MPL) Montpellier,2:00 PM,Prévu
AT 729,Royal Air Maroc,(MRS) Marseille,2:05 PM,Prévu
AT 719,Royal Air Maroc,(LYS) Lyon,2:20 PM,Prévu
AF 1596,Air France,(CDG) Paris,2:35 PM,Prévu
DL 8460 ^,Delta Air Lines,(CDG) Paris,2:35 PM,Prévu
KE 6373 ^,Korean Air,(CDG) Paris,2:35 PM,Prévu
KL 2112 ^,KLM,(CDG) Paris,2:35 PM,Prévu
AT 983,Royal Air Maroc,(LIS) Lisbon,2:35 PM,Prévu
TK 617,Turkish Airlines,(ISL) Istanbul,2:50 PM,Prévu
AT 9401 ^,Royal Air Maroc,(ISL) Istanbul,2:50 PM,Prévu
AT 571,Royal Air Maroc,(TUN) Tunis,2:50 PM,Prévu
AT 973,Royal Air Maroc,(MAD) Madrid,2:50 PM,Prévu
IB 1972 ^,Iberia,(MAD) Madrid,2:50 PM,Prévu
AT 965,Royal Air Maroc,(BCN) Barcelona,2:55 PM,Prévu
AT 757,Royal Air Maroc,(ORY) Paris,2:55 PM,Prévu
